article_id,topic,source_type,verdict,ml_confidence,sensationalism_score,readability_fk,date_analysed
ART_0141,Technology,Telegram,Likely Misinformation,0.899,0.576,48.7,2025-09-13
ART_0142,Finance,Online blog,Suspicious,0.587,0.195,66.6,2025-08-26
ART_0143,Science,Facebook post,Suspicious,0.584,0.141,58.1,2025-09-26
ART_0144,Celebrity,Telegram,Credible,0.872,0.076,66.7,2025-08-05
ART_0145,Health,Facebook post,Credible,0.95,0.078,79.7,2025-09-02
ART_0146,Finance,Email chain,Credible,0.961,0.044,58.3,2025-08-05
ART_0147,Health,WhatsApp forward,Credible,0.601,0.064,61.8,2025-07-27
ART_0148,Celebrity,Facebook post,Suspicious,0.914,0.089,43.3,2025-07-23
ART_0149,Finance,Email chain,Credible,0.463,0.0,49.3,2025-09-14
ART_0150,Science,News website,Likely Misinformation,0.911,0.211,48.8,2025-08-26
ART_0151,Celebrity,Email chain,Likely Misinformation,0.799,0.098,33.7,2025-07-10
ART_0152,Finance,Twitter/X,Credible,0.443,0.034,48.8,2025-09-03
ART_0153,Health,Online blog,Suspicious,0.745,0.123,54.1,2025-07-14
ART_0154,Politics,Telegram,Likely Misinformation,0.916,0.094,35.1,2025-07-07
ART_0155,Disaster,Facebook post,Credible,0.937,0.108,63.0,2025-08-08
ART_0156,Science,Telegram,Credible,0.719,0.098,32.7,2025-07-14
ART_0157,Technology,Facebook post,Credible,0.763,0.096,34.8,2025-07-06
ART_0158,Health,News website,Suspicious,0.889,0.062,49.9,2025-08-22
ART_0159,Celebrity,Telegram,Credible,0.625,0.074,49.1,2025-07-15
ART_0160,Science,News website,Credible,0.553,0.167,58.2,2025-07-25
ART_0161,Health,Twitter/X,Suspicious,0.788,0.162,50.7,2025-09-08
ART_0162,Technology,News website,Suspicious,0.875,0.084,56.8,2025-08-19
ART_0163,Science,Online blog,Likely Misinformation,0.446,0.542,65.7,2025-09-19
ART_0164,Technology,Telegram,Likely Misinformation,0.793,0.372,36.0,2025-08-06
ART_0165,Politics,WhatsApp forward,Likely Misinformation,0.869,0.076,51.2,2025-09-14
ART_0166,Technology,Facebook post,Credible,0.486,0.119,46.0,2025-09-26
ART_0167,Science,Telegram,Credible,0.63,0.065,43.8,2025-08-28
ART_0168,Celebrity,Telegram,Credible,0.741,0.156,35.6,2025-07-05
ART_0169,Disaster,Email chain,Suspicious,0.96,0.02,35.3,2025-07-26
ART_0170,Disaster,Online blog,Credible,0.909,0.053,62.7,2025-09-20
ART_0171,Politics,Online blog,Suspicious,0.634,0.124,64.0,2025-08-02
ART_0172,Finance,Facebook post,Credible,0.538,0.149,76.0,2025-08-01
ART_0173,Technology,Online blog,Credible,0.58,0.169,72.9,2025-09-04
ART_0174,Politics,WhatsApp forward,Likely Misinformation,0.574,0.446,68.7,2025-08-09
ART_0175,Disaster,Facebook post,Suspicious,0.452,0.088,75.7,2025-08-24
ART_0176,Disaster,Email chain,Suspicious,0.617,0.011,69.6,2025-07-10
ART_0177,Science,WhatsApp forward,Suspicious,0.853,0.105,58.4,2025-07-07
ART_0178,Politics,Email chain,Likely Misinformation,0.433,0.02,32.5,2025-08-23
ART_0179,Finance,Email chain,Credible,0.669,0.079,76.2,2025-09-01
ART_0180,Science,Telegram,Credible,0.659,0.192,53.7,2025-09-12
ART_0181,Technology,Online blog,Credible,0.834,0.138,44.3,2025-08-02
ART_0182,Disaster,Email chain,Credible,0.96,0.171,62.4,2025-09-07
ART_0183,Science,Telegram,Credible,0.412,0.156,68.4,2025-07-16
ART_0184,Celebrity,WhatsApp forward,Likely Misinformation,0.749,0.005,42.6,2025-08-23
ART_0185,Celebrity,Online blog,Likely Misinformation,0.646,0.226,47.4,2025-08-07
ART_0186,Celebrity,Telegram,Suspicious,0.878,0.079,35.1,2025-09-22
ART_0187,Technology,Online blog,Likely Misinformation,0.726,0.356,44.1,2025-09-04
ART_0188,Finance,Online blog,Suspicious,0.772,0.172,43.1,2025-09-21
ART_0189,Politics,Telegram,Credible,0.844,0.18,70.3,2025-09-13
ART_0190,Celebrity,WhatsApp forward,Suspicious,0.818,0.131,79.9,2025-08-14
ART_0191,Celebrity,Twitter/X,Credible,0.738,0.199,70.8,2025-08-24
ART_0192,Celebrity,Telegram,Suspicious,0.77,0.095,77.0,2025-08-17
ART_0193,Politics,Email chain,Credible,0.781,0.112,44.7,2025-08-05
ART_0194,Celebrity,Email chain,Suspicious,0.724,0.183,77.3,2025-08-21
ART_0195,Finance,WhatsApp forward,Credible,0.832,0.061,69.4,2025-08-12
ART_0196,Finance,News website,Credible,0.894,0.094,73.3,2025-09-19
ART_0197,Health,News website,Likely Misinformation,0.916,0.3,73.4,2025-08-17
ART_0198,Health,Email chain,Credible,0.895,0.027,40.0,2025-08-19
ART_0199,Science,WhatsApp forward,Likely Misinformation,0.584,0.429,68.9,2025-08-11
ART_0200,Politics,Online blog,Suspicious,0.768,0.001,43.7,2025-07-19
